rowid,year,program,fac_qual_ex,pro_qual_ex,money_sup_ex,field_dev_pace_ex,advising_qual_ex,smart_community_ex,prof_dev_ex,equipment_ex,grad_involve_ex,research_opp_ex,grad_fair_assess_ex,promote_inclu_ex,grant_train_ex,teach_prep_ex,grad_clear_assess_ex,inter_sup_ex,prof_ethic_train_ex,fac_qual_ex_good,pro_qual_ex_good,money_sup_ex_good,field_dev_pace_ex_good,advising_qual_ex_good,smart_community_ex_good,prof_dev_ex_good,equipment_ex_good,grad_involve_ex_good,research_opp_ex_good,grad_fair_assess_ex_good,promote_inclu_ex_good,grant_train_ex_good,teach_prep_ex_good,grad_clear_assess_ex_good,inter_sup_ex_good,prof_ethic_train_ex_good,fac_qual_fair_poor,pro_qual_fair_poor,money_sup_fair_poor,field_dev_pace_fair_poor,advising_qual_fair_poor,smart_community_fair_poor,prof_dev_fair_poor,equipment_fair_poor,grad_involve_fair_poor,research_opp_fair_poor,grad_fair_assess_fair_poor,promote_inclu_fair_poor,grant_train_fair_poor,teach_prep_fair_poor,grad_clear_assess_fair_poor,inter_sup_fair_poor,prof_ethic_train_fair_poor,encourage_agree,idea_resp_agree,construct_feed_agree,time_feed_agree,avail_agree,career_sup_agree,stu_equit_agree,ethic_emp_agree,help_secure_fund_agree,help_prof_dev_agree,publish_help_agree,encourage_intel_diff_agree,comfort_talk_issue_agree,encourage_disagree,idea_resp_disagree,construct_feed_disagree,time_feed_disagree,avail_disagree,career_sup_disagree,stu_equit_disagree,ethic_emp_disagree,help_secure_fund_disagree,help_prof_dev_disagree,publish_help_disagree,encourage_intel_diff_disagree,comfort_talk_issue_disagree,collegial_strong,encouraging_strong,supportive_strong,intel_open_strong,inter_open_strong,inclu_stu_color_strong,inclu_gender_strong,inclu_intern_stu_strong,inclu_stu_disab_strong,inclu_first_gen_strong,inclu_stu_sex_orient_strong,collegial_agree,encouraging_agree,supportive_agree,intel_open_agree,inter_open_agree,inclu_stu_color_agree,inclu_gender_agree,inclu_intern_stu_agree,inclu_stu_disab_agree,inclu_first_gen_agree,inclu_stu_sex_orient_agree,collegial_disagree,encouraging_disagree,supportive_disagree,intel_open_disagree,inter_open_disagree,inclu_stu_color_disagree,inclu_gender_disagree,inclu_intern_stu_disagree,inclu_stu_disab_disagree,inclu_first_gen_disagree,inclu_stu_sex_orient_disagree
9,2012,nonprofit_management,25,14.3,0,50,0,14.3,12.5,14.3,0,28.6,0,28.6,0,33.3,0,0,28.6,100,71.4,14.3,100,50,57.1,62.5,28.6,0,28.6,57.1,57.1,25,50,28.6,14.3,85.7,0,0,42.9,0,25,0,12.5,14.3,28.6,0,0,0,12.5,0,0,14.3,14.3,16.7,33.3,16.7,0,16.7,33.3,66.7,33.3,0,16.7,0,33.3,33.3,0,0,0,0,0,0,0,0,0,33.3,16.7,0,0,14.3,14.3,28.6,14.3,14.3,42.9,42.9,28.6,14.3,14.3,14.3,85.7,85.7,85.7,57.1,57.1,57.1,100,85.7,71.4,71.4,57.1,0,0,0,0,0,0,0,0,0,0,0
10,2012,public_administration,5,5.3,10.5,15,10,15.8,36.8,5.3,5.3,5,15,11.1,10.5,5,10,10,10.5,45,47.4,15.8,60,55,47.4,63.2,10.5,31.6,35,45,38.9,36.8,25,25,40,47.4,20,15.8,52.6,10,10,26.3,15.8,73.7,36.8,15,15,22.2,42.1,50,15,20,42.1,25,50,40,30,30,50,55,20,5.3,5.3,5.6,15.8,31.6,10,5,5,15,20,5,5,5,52.6,47.4,50,21.1,26.3,35,31.6,35,25,21.1,31.6,55,26.3,21.1,31.6,45,85,89.5,90,65,68.4,63.2,80,63.2,52.6,52.6,70,10,5.3,10,20,21.1,15.8,15,15.8,26.3,26.3,15
,2015,architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,art_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,arts_management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,community_regional_planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,historic_preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,interior_architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,landscape_architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,nonprofit_management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,public_administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,communication_society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,strategic_communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,communication_society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,strategic_communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,law,9.7,16.1,0,20,6.5,23.3,6.5,29,9.7,6.7,16.1,16.1,3.2,0,13.3,13.3,25.8,32.3,29,9.7,46.7,19.4,56.7,22.6,67.7,29,10,32.3,48.4,3.2,26.7,33.3,36.7,61.3,19.4,29,74.2,33.3,67.7,23.3,61.3,9.7,58.1,60,35.5,25.8,83.9,33.3,43.3,36.7,22.6,61.1,61.1,44.4,29.4,47.1,61.1,55.6,61.1,23.5,33.3,17.6,44.4,44.4,0,0,5.6,23.5,11.8,0,0,0,11.8,11.1,23.5,0,5.6,24.1,29,35.5,29,30,41.9,48.4,51.6,29,31,58.1,72.4,71,61.3,51.6,60,71,80.6,80.6,54.8,62.1,77.4,6.9,3.2,16.1,16.1,13.3,9.7,6.5,9.7,16.1,17.2,6.5
,2015,law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,lcb_doctoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,mba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,lcb_doctoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,mba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,comparative_literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,creative_writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,east_asian_lang_lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,folklore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,romance_languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,theater_arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,comparative_literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,creative_writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,east_asian_lang_lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,folklore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,romance_languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,theater_arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,biology,51,42,24.5,52,20,44,10.2,24,18.4,46,16,12,6,6,10,30,18,89.8,82,73.5,82,52,74,30.6,58,36.7,80,50,36,20,26,42,64,40,0,0,6.1,2,12,4,34.7,22,28.6,0,14,24,34,36,38,16,22,62.5,60,50,45,50,43.6,66.7,41,50,35,45,37.5,32.5,0,5,5,7.5,2.5,15.4,5.1,12.8,2.5,15,5,15,20,45.8,43.8,50,43.8,47.9,34,64.6,45.8,31.9,48.9,61.7,89.6,85.4,87.5,83.3,75,55.3,83.3,79.2,53.2,74.5,83,2.1,2.1,2.1,8.3,4.2,23.4,2.1,6.3,17,6.4,4.3
,2012,chemistry,32.1,26.4,34,26.4,132.2,26.4,22.6,24.5,17,41.5,11.5,13.2,9.4,11.3,9.4,30.2,17,75.5,73.6,60.4,83,45.3,71.7,47.2,64.2,34,69.8,38.5,49.1,24.5,35.8,32.1,56.6,47.2,5.7,5.7,13.2,0,13.2,5.7,18.9,9.4,26.4,5.7,19.2,20.8,39.6,24.5,24.5,15.1,20.8,45.7,35.3,42.9,34.3,37.1,48.6,54.3,48.6,54.3,40,51.4,42.9,37.1,0,8.8,5.7,5.7,8.6,8.6,5.7,5.7,2.9,8.6,2.9,11.4,20,41.2,31.4,33.3,31.4,37.3,41.2,51,38,31.4,43.1,56.9,82.4,84.3,84.3,76.5,78.4,72.5,88.2,68,54.9,72.5,90.2,3.9,7.8,5.9,7.8,5.9,5.9,3.9,4,7.8,3.9,0
,2012,computer_information_science,0,3.8,23.1,3.8,3.8,3.8,3.8,15.4,3.8,26.9,4,11.5,3.8,4,8,11.5,11.5,23.1,30.8,61.5,26.9,34.6,53.8,23.1,50,34.6,57.7,32,50,26.9,32,28,34.6,42.3,26.9,19.2,7.7,34.6,34.6,15.4,38.5,19.2,23.1,11.5,28,11.5,30.8,36,36,19.2,26.9,50,40.9,36.4,36.4,31.8,27.3,40.9,27.3,36.4,36.4,40.9,40.9,36.4,0,0,9.1,22.7,9.1,4.5,13.6,0,13.6,18.2,4.5,4.5,13.6,16.7,20.8,25,25,16.7,37.5,45.8,62.5,37.5,37.5,41.7,62.5,66.7,70.8,62.5,54.2,75,62.5,83.3,62.5,66.7,79.2,8.3,12.5,8.3,25,8.3,0,20.8,0,8.3,0,0
,2012,geological_sciences,43.3,36.7,40,36.7,13.3,53.3,0,16.7,50,63.3,16.7,10,13.8,3.3,6.7,36.7,13.3,90,86.7,73.3,86.7,53.3,83.3,23.3,80,83.3,90,50,50,24.1,23.3,40,60,33.3,0,0,3.3,0,13.3,3.3,50,10,3.3,3.3,20,10,51.7,33.3,26.7,10,33.3,69,79.3,69,58.6,41.4,64.3,69,31,48.3,41.4,53.6,55.2,31,0,0,6.9,10.3,6.9,3.6,6.9,10.3,13.8,17.2,17.9,6.9,10.3,55.2,55.2,48.3,58.6,58.6,20.7,55.2,27.6,14.8,25.9,42.9,89.7,82.8,82.8,86.2,82.8,55.2,89.7,62.1,44.4,59.3,85.7,0,3.4,0,0,3.4,6.9,3.4,0,11.1,7.4,3.6
